aa_000,ag_002,ag_003,ag_004,ah_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,ay_008,az_005,az_007,ba_000,ba_002,ba_003,ba_004,ba_008,bb_000,bg_000,bh_000,bi_000,bj_000,bt_000,bu_000,bv_000,bx_000,by_000,cc_000,ce_000,ci_000,cj_000,ck_000,cn_000,cn_001,cn_002,cn_008,cn_009,cq_000,cs_002,cs_004,de_000,dg_000,dn_000,ds_000,dt_000,ee_000,ee_005
60,0,2682,4736,3976,1520,2374,11516,9480,111258,470,0,13124,6198,2948,8762,480,380,196,74,124340,3976,318,107662,3458,59.53,124340,124340,184970,54.0,13196,598,5913.6,0.0,5851.2,0,2,5512,0,0,124340,36,920,112,0,340,232,66,7502,654
82,0,0,748,5244,0,0,23174,18166,23686,1270,0,16286,3362,0,12564,638,276,172,192,46894,5244,360,20520,3134,81.89,46894,46894,48324,68.0,17050,726,7224.96,0.0,7768.32,0,0,4,0,0,46894,114,700,40,0,352,200,62,10040,116
66002,0,199486,1358536,1891670,77898,110548,3605894,3291610,959756,286536,0,474782,388700,123828,1662580,387998,226078,161558,147744,4644422,1891670,47066,692800,265492,66002.89,4644422,4644422,4608738,22706.0,3991552,126310,3594885.12,0.0,374649.6,0,5154,174956,300806,201500,4644422,162660,217930,692,0,25278,109700,19072,396312,269556
59816,0,0,123922,1772828,1116,2372,3546760,3053176,652616,423374,0,2012,1137664,0,1283806,345132,265930,194770,13880,4201350,1772828,51468,331744,316130,59816.46,4201350,4201350,4203050,29967.0,4030198,114684,3387773.76,38633.28,599624.64,0,0,14308,6220,440,4201350,70090,191284,414,0,27740,133542,21290,659550,485332
1814,0,0,72,48978,0,0,97146,89920,12932,5092,0,15170,92898,0,53558,9824,4552,764,0,110094,48978,1100,7932,4966,1813.74,110094,110094,113274,364.0,103946,1832,94319.04,0.0,9556.8,0,0,0,28,0,110094,86,1792,36,0,538,1822,344,10216,49782
40202,0,0,156074,1291194,3856,8726,2622432,2281520,436178,312658,0,67050,559614,0,839110,262990,220176,206744,21774,3062802,1291194,33824,220020,214184,40201.15,3062802,3062802,3072230,24471.0,2981808,98790,2620750.08,0.0,358857.6,0,0,11612,4280,330,3062802,90180,138974,92,0,17694,77528,12700,376266,374248
120278,0,0,208,3242508,0,0,6749710,5825696,1123618,814174,0,3436204,7529872,0,1926556,1042108,701454,527344,0,7874216,3242508,96516,501852,619894,120277.48,7874216,7874216,7880232,48233.0,7661858,318234,6850344.96,0.0,807766.08,0,0,0,11138,576,7874216,351672,300810,1114,0,50196,226956,53298,836724,689532
14592,0,0,90276,464694,1882,3066,984644,789062,258990,123842,0,988480,12470,0,489944,137166,65938,26522,5414,1246288,464694,13896,68604,189242,14592.14,1246288,1246288,1191566,4285.0,1122028,38282,844361.28,0.0,274802.88,0,0,35156,760,8,1246288,66226,55302,282,0,9958,19198,4944,291606,38256
28338,0,0,582,1067710,0,0,1976636,1733700,371848,205258,0,506502,2043544,0,568114,168892,132254,118744,0,2348762,1067710,26524,202512,168768,28337.83,2348762,2348762,2319360,19566.0,2195254,80176,1908778.56,0.0,284365.44,0,0,0,4544,576,2348762,44090,77248,276,0,17664,29992,11814,296980,239282
30758,0,0,44326,1053414,0,0,1782786,1567350,516596,170742,0,296694,1907562,0,497056,147772,121010,126120,3876,2299708,1053414,29256,372350,142862,30758.9,2299708,2299708,2300270,16657.0,1957836,65476,1763754.24,0.0,191563.2,0,0,450,2914,328,2299708,32974,53694,144,0,15570,57216,12210,205190,184386
40358,0,38954,348954,1319756,5982,8800,2245268,1977106,412216,202416,0,768034,2462858,0,736914,250106,192484,161166,1082,2664202,1319756,39210,216668,193520,40358.77,2664202,2664202,2644734,13576.0,2504962,89326,2149831.68,0.0,350598.72,0,0,54986,3364,270,2664202,3648,97400,596,0,20604,100542,23900,371204,276276
30664,0,0,362,880786,0,0,1897438,1673290,376322,180460,0,240718,509540,0,636616,203684,157850,135220,0,2274092,880786,18900,215290,159052,30663.65,2274092,2274092,2254362,14173.0,2049872,52786,1720335.36,9287.04,318373.44,0,0,0,4554,588,2274092,9992,193518,162,0,11598,33512,7604,342546,273194
41628,0,0,6980,1131444,0,0,2421888,2001216,542058,354602,0,115788,856362,0,946320,219128,160808,135918,404,2964620,1131444,35996,295106,238352,41628.21,2964620,2964620,2958394,21808.0,2804204,87012,2425731.84,0.0,376384.32,0,0,0,6118,726,2964620,87422,89506,188,0,23592,42002,10844,393206,298746
1434,0,0,112,37978,0,0,81732,73836,15716,5114,0,0,46004,0,31130,13852,5428,2256,0,97466,37978,860,9398,6282,1434.0,97466,97466,100062,300.0,83564,1644,75314.88,0.0,8129.28,0,0,0,86,0,97466,64,2714,54,0,498,1052,174,9282,54170
31576,0,0,10740,1176698,0,0,2272632,2107480,223286,115126,0,1011410,2363132,0,712616,194840,183536,173916,20690,2496382,1176698,18748,113994,108644,31576.08,2496382,2496382,2471092,14619.0,2374144,71976,2077922.88,162.24,293290.56,0,0,0,1638,116,2496382,14508,43948,178,0,10076,63666,8572,314462,204240
30812,0,0,262,974838,0,0,2029384,1858550,262934,132970,0,176712,2024598,0,575618,163718,142980,138916,0,2292648,974838,17588,138700,123736,30812.52,2292648,2292648,2273660,18050.0,2179136,64554,1888753.92,0.0,289008.0,0,0,0,2370,176,2292648,68368,91330,272,0,11476,24160,5060,300874,245010
846,0,12988,57428,1966,146,214,9338,7202,14962,1092,6,64176,98116,0,72188,9756,6572,3524,564,24468,1966,104,12498,2376,846.57,24468,24468,166898,390.0,112402,2300,45602.88,0.0,65543.04,0,8288,25418,0,0,24468,7794,26408,86,0,130,1204,254,67774,15876
42676,0,0,2374,1397912,0,0,2466618,2162124,496030,244414,0,277170,457918,0,848290,234354,232216,242300,140,2963242,1397912,41114,290020,204806,42675.0,2963242,2963242,2961570,20000.0,2791450,81684,2495783.04,0.0,293817.6,0,0,0,4506,284,2963242,64984,132012,94,0,22980,90016,12994,310384,342716
30,0,0,46,3722,0,0,10696,7738,5354,1376,0,2,8252,0,9134,154,46,28,0,16060,3722,224,2114,3196,30.79,16060,16060,19680,17.0,10472,660,5420.16,0.0,4999.68,0,0,0,12,0,16060,20,768,42,0,156,282,88,5442,10
24272,0,0,5618,669082,0,0,1384542,1246742,169662,110662,0,711156,294102,0,480840,126576,112100,103796,0,1554510,669082,15260,95110,74128,24272.13,1554510,1554510,1558438,8204.0,1484752,51462,1287813.12,0.0,194743.68,0,0,0,3002,326,1554510,2066,59620,144,0,8176,49850,9580,207414,193214
98470,0,4956,773962,2322578,14958,19900,5113602,4781090,422236,258462,0,2512084,3492616,0,1208732,717112,616510,337874,45428,5551768,2322578,36942,201832,218136,98469.67,5551768,5551768,5502602,37734.0,5394044,125028,4949902.08,0.0,440308.8,0,0,229446,2372,106,5551768,203828,137524,338,0,23294,86744,17298,470638,724476
970,0,0,1376,30954,0,0,65416,53542,25780,4658,0,8174,742,0,5604,622,168,102,6,91282,30954,934,15362,10026,969.78,91282,91282,11278,23.0,67568,1986,52446.72,0.0,14069.76,0,0,0,0,0,91282,100,156,182,0,870,1146,288,3590,736
8,0,0,2620,2848,90,342,16006,13026,8290,656,0,1128,782,0,6744,104,82,40,36,24414,2848,168,6002,2264,8.91,24414,24414,26672,24.0,8140,324,1950.72,0.0,5140.8,0,0,1386,0,0,24414,16,30,76,0,184,102,20,6344,0
63496,0,0,1036,2077024,0,0,4628604,3865846,1409978,632502,0,0,1484854,0,3172534,431386,275790,184414,0,6039530,2077024,64842,702854,703690,63496.6,6039530,6039530,6003020,19909.0,5407150,132116,3981178.56,0.0,1421078.4,0,0,0,8320,78,6039530,24258,402424,582,0,37102,154642,29716,1474536,661122
844,340,39950,20464,10144,26358,35110,32500,48302,27554,3236,0,51734,2864,51596,31098,13746,3400,1590,48,86486,10144,554,14252,12998,844.11,86486,86486,86108,278.0,65804,994,41665.92,0.0,22986.24,0,4788,22166,0,0,86486,684,6518,140,0,1020,272,60,24424,3444
